 lot2029                            , ShopClick               ,3,8,31
 melroso                            , ShopClick               ,3,8,19
 melroso                            , ShopClick               ,3,8,20
 mxstore                            , ShopClick               ,3,8,14
 mxstore                            , ShopClick               ,3,8,31
 nailhur                            , ShopClick               ,3,8,12
 nouveau                            , ShopClick               ,3,8,22
 nuspace                            , ShopClick               ,3,8,22
 pengems                            , ShopClick               ,3,8,4
 pengems                            , ShopClick               ,3,8,10
 pengems                            , ShopClick               ,3,8,23
 popflex                            , ShopClick               ,3,8,25
 popflex                            , ShopClick               ,3,8,28
 primary                            , ShopClick               ,3,8,19
 primary                            , ShopClick               ,3,8,20
 ratbagg                            , ShopClick               ,3,8,23
 ratbagg                            , ShopClick               ,3,8,31
 satisfy                            , ShopClick               ,3,8,23
 seavees                            , ShopClick               ,3,8,4
 seavees                            , ShopClick               ,3,8,9
 seavees                            , ShopClick               ,3,8,13
 seavees                            , ShopClick               ,3,8,15
 seavees                            , ShopClick               ,3,8,22
 seavees                            , ShopClick               ,3,8,29
 slinkii                            , ShopClick               ,3,8,2
 slinkii                            , ShopClick               ,3,8,6
 slinkii                            , ShopClick               ,3,8,16
 slinkii                            , ShopClick               ,3,8,18
 slinkii                            , ShopClick               ,3,8,28
 slinkii                            , ShopClick               ,3,8,31
 solefly                            , ShopClick               ,3,8,26
 solefly                            , ShopClick               ,3,8,29
 tcellis                            , ShopClick               ,3,8,2
 tcellis                            , ShopClick               ,3,8,9
 tcellis                            , ShopClick               ,3,8,12
 tcellis                            , ShopClick               ,3,8,16
 tcellis                            , ShopClick               ,3,8,17
 tilebar                            , ShopClick               ,3,8,19
 tilebar                            , ShopClick               ,3,8,25
 tilebar                            , ShopClick               ,3,8,30
 85online                           , ShopClick               ,3,8,17
 85online                           , ShopClick               ,3,8,22
 85online                           , ShopClick               ,3,8,27
 85online                           , ShopClick               ,3,8,31
 KISSKILL                           , ShopClick               ,3,8,4
 KISSKILL                           , ShopClick               ,3,8,6
 KISSKILL                           , ShopClick               ,3,8,7
 KISSKILL                           , ShopClick               ,3,8,8
 KISSKILL                           , ShopClick               ,3,8,15
 KISSKILL                           , ShopClick               ,3,8,22
 MiaDonna                           , ShopClick               ,3,8,2
 MiaDonna                           , ShopClick               ,3,8,6
 MiaDonna                           , ShopClick               ,3,8,15
 MiaDonna                           , ShopClick               ,3,8,24
 MiaDonna                           , ShopClick               ,3,8,25
 ____lg__                           , ShopClick               ,3,8,16
 aggybees                           , ShopClick               ,3,8,11
 bettinis                           , ShopClick               ,3,8,7
 bodyrock                           , ShopClick               ,3,8,1
 bodyrock                           , ShopClick               ,3,8,10
 bodyrock                           , ShopClick               ,3,8,18
 bodyrock                           , ShopClick               ,3,8,19
 bodyrock                           , ShopClick               ,3,8,23
 bodyrock                           , ShopClick               ,3,8,27
 calamoon                           , ShopClick               ,3,8,14
 calamoon                           , ShopClick               ,3,8,22
